TIME,RES
2021-11-17 04:36:58,6400
2021-11-17 04:37:28,6400
2021-11-17 04:37:58,6400
2021-11-17 04:38:28,6400
2021-11-17 04:38:58,6400
2021-11-17 04:39:29,6400
2021-11-17 04:39:59,6400
2021-11-17 04:40:29,6400
2021-11-17 04:40:59,6400
2021-11-17 04:41:29,6400
2021-11-17 04:41:59,6400
2021-11-17 04:42:30,6400
2021-11-17 04:43:00,6400
2021-11-17 04:43:30,6400
2021-11-17 04:44:00,6400
2021-11-17 04:44:30,6400
2021-11-17 04:45:00,6400
2021-11-17 04:45:30,6400
2021-11-17 04:46:01,6400
2021-11-17 04:46:31,6400
2021-11-17 04:47:01,6400
2021-11-17 04:47:31,6400
2021-11-17 04:48:01,6400
2021-11-17 04:48:31,6400
2021-11-17 04:49:02,6400
2021-11-17 04:49:32,6400
2021-11-17 04:50:02,6400
2021-11-17 04:50:32,6400
2021-11-17 04:51:02,6400
2021-11-17 04:51:32,6400
2021-11-17 04:52:03,6400
2021-11-17 04:52:33,6400
2021-11-17 04:53:03,6400
2021-11-17 04:53:33,6400
2021-11-17 04:54:03,6400
2021-11-17 04:54:33,6400
2021-11-17 04:55:03,6400
2021-11-17 04:55:34,6500
2021-11-17 04:56:04,7100
2021-11-17 04:56:34,6500
2021-11-17 04:57:04,6500
2021-11-17 04:57:34,6500
2021-11-17 04:58:04,6500
2021-11-17 04:58:35,6500
2021-11-17 04:59:05,6500
2021-11-17 04:59:35,6500
2021-11-17 05:00:05,6500
2021-11-17 05:00:35,6500
2021-11-17 05:01:05,6500
2021-11-17 05:01:35,6500
2021-11-17 05:02:06,6500
2021-11-17 05:02:36,6500
2021-11-17 05:03:06,6500
2021-11-17 05:03:36,6500
2021-11-17 05:04:06,6500
2021-11-17 05:04:36,6500
2021-11-17 05:05:07,6500
2021-11-17 05:05:37,6500
2021-11-17 05:06:07,6500
2021-11-17 05:06:37,6500
2021-11-17 05:07:07,6500
2021-11-17 05:07:37,6500
2021-11-17 05:08:08,6500
2021-11-17 05:08:38,6500
2021-11-17 05:09:08,6500
2021-11-17 05:09:38,6500
2021-11-17 05:10:08,6500
2021-11-17 05:10:38,6500
2021-11-17 05:11:08,6500
2021-11-17 05:11:39,6500
2021-11-17 05:12:09,6500
2021-11-17 05:12:39,6500
2021-11-17 05:13:09,6500
2021-11-17 05:13:39,6500
2021-11-17 05:14:09,6500
2021-11-17 05:14:40,6500
2021-11-17 05:15:10,6500
2021-11-17 05:15:40,6500
2021-11-17 05:16:10,6500
2021-11-17 05:16:40,6500
2021-11-17 05:17:10,6500
2021-11-17 05:17:41,6500
2021-11-17 05:18:11,6500
2021-11-17 05:18:41,6500
2021-11-17 05:19:11,6500
2021-11-17 05:19:41,6500
2021-11-17 05:20:11,6500
2021-11-17 05:20:41,6500
2021-11-17 05:21:12,6500
2021-11-17 05:21:42,6500
2021-11-17 05:22:12,6500
2021-11-17 05:22:42,6500
2021-11-17 05:23:12,6500
2021-11-17 05:23:42,6500
2021-11-17 05:24:13,6500
2021-11-17 05:24:43,6500
2021-11-17 05:25:13,6500
2021-11-17 05:25:43,6500
2021-11-17 05:26:13,6500
2021-11-17 05:26:43,6500
2021-11-17 05:27:13,6500
2021-11-17 05:27:44,6500
2021-11-17 05:28:14,6500
2021-11-17 05:28:44,6500
2021-11-17 05:29:14,6500
2021-11-17 05:29:44,6500
2021-11-17 05:30:14,6500
2021-11-17 05:30:45,6500
2021-11-17 05:31:15,6500
2021-11-17 05:31:45,6500
2021-11-17 05:32:15,6500
2021-11-17 05:32:45,6500
2021-11-17 05:33:15,6500
2021-11-17 05:33:46,6500
2021-11-17 05:34:16,6500
2021-11-17 05:34:46,6500
2021-11-17 05:35:16,6500
2021-11-17 05:35:46,6500
2021-11-17 05:36:16,6500
2021-11-17 05:36:46,6500
2021-11-17 05:37:17,6500
2021-11-17 05:37:47,6500
2021-11-17 05:38:17,6500
2021-11-17 05:38:47,6500
2021-11-17 05:39:17,6500
2021-11-17 05:39:47,6500
2021-11-17 05:40:18,6500
2021-11-17 05:40:48,6500
2021-11-17 05:41:18,6500
2021-11-17 05:41:48,6500
2021-11-17 05:42:18,6500
2021-11-17 05:42:48,6500
2021-11-17 05:43:19,6500
2021-11-17 05:43:49,6500
2021-11-17 05:44:19,6500
2021-11-17 05:44:49,6500
2021-11-17 05:45:19,6500
2021-11-17 05:45:49,6500
2021-11-17 05:46:19,6500
2021-11-17 05:46:50,6500
2021-11-17 05:47:20,6500
